,mean_value,CellType,treatment,hallmark
277,33.192215,CD8T,IFNb_Ctrl_2h,hallmark_ifna
278,33.02436,CD8T,IFNb_Ctrl_2h,hallmark_ifna
279,33.384502,CD8T,IFNb_Ctrl_2h,hallmark_ifna
280,33.343468,CD8T,IFNb_Ctrl_2h,hallmark_ifna
281,33.10203,CD8T,IFNb_Ctrl_2h,hallmark_ifna
282,32.696907,CD8T,IFNb_Ctrl_2h,hallmark_ifna
283,33.34803,CD8T,IFNb_Ctrl_2h,hallmark_ifna
284,33.337048,CD8T,IFNb_Ctrl_2h,hallmark_ifna
285,32.90979,CD8T,IFNb_Ctrl_2h,hallmark_ifna
286,33.14198,CD8T,IFNb_Ctrl_2h,hallmark_ifna
287,32.9822,CD8T,IFNb_Ctrl_2h,hallmark_ifna
288,32.657745,CD8T,IFNb_Ctrl_2h,hallmark_ifna
289,32.884186,CD8T,IFNb_Ctrl_2h,hallmark_ifna
290,32.9752,CD8T,IFNb_Ctrl_2h,hallmark_ifna
291,32.781837,CD8T,IFNb_Ctrl_2h,hallmark_ifna
292,32.78533,CD8T,IFNb_Ctrl_2h,hallmark_ifna
293,33.31703,CD8T,IFNb_Ctrl_2h,hallmark_ifna
294,33.549763,CD8T,IFNb_Ctrl_2h,hallmark_ifna
295,33.424156,CD8T,IFNb_Ctrl_2h,hallmark_ifna
296,33.385777,CD8T,IFNb_Ctrl_2h,hallmark_ifna
297,33.097103,CD8T,IFNb_Ctrl_2h,hallmark_ifna
298,33.07266,CD8T,IFNb_Ctrl_2h,hallmark_ifna
299,32.57206,CD8T,IFNb_Ctrl_2h,hallmark_ifna
300,64.74071,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
301,63.626366,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
302,62.795353,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
303,64.95999,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
304,64.35351,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
305,64.44609,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
306,63.984165,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
307,65.13301,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
308,64.28328,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
309,64.06536,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
310,64.441795,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
311,64.50399,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
312,64.698204,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
313,64.692924,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
314,65.050865,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
315,64.31648,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
316,64.090195,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
317,64.88245,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
318,63.81069,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
319,63.994648,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
320,64.45572,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
321,64.75546,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
322,64.66214,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
323,63.559795,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
324,64.10476,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
325,64.82469,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
326,64.56322,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
327,65.005554,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
328,63.23614,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
329,64.62146,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
330,64.94282,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
331,63.691425,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
332,64.95602,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
333,64.95552,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
334,64.48862,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
335,64.61536,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
336,64.67288,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
337,63.872593,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
338,64.735214,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
339,64.65895,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
340,63.635548,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
341,64.89828,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
342,64.78552,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
343,63.858776,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
344,64.07264,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
345,63.93799,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
346,63.91909,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
347,63.79764,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
348,64.734695,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
349,64.02323,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
350,65.28914,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
351,64.56467,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
352,64.153656,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
353,63.903522,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
354,64.380066,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
355,64.30235,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
356,63.776855,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
357,63.686954,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
358,63.389996,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
359,64.37401,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
360,64.65003,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
361,63.70304,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
362,64.151886,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
363,64.26281,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
364,64.15253,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
365,63.831806,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
366,63.849148,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
367,64.98431,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
368,64.086914,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
369,64.10265,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
370,62.97675,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
371,64.69932,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
372,63.68711,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
373,64.33767,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
374,64.498985,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
375,64.4469,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
376,63.935,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
377,62.858383,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
378,64.038826,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
379,64.03259,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
380,64.52426,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
381,64.55868,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
382,64.33507,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
383,64.3255,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
384,63.726788,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
385,63.980328,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
386,64.2362,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
387,64.6238,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
388,64.31881,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
389,63.847504,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
390,64.50919,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
391,65.97622,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
392,63.722,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
393,63.240772,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
394,64.53231,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
395,63.750927,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
396,64.067795,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
397,65.24646,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
398,64.70376,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
399,63.989113,Monocyte,IFNb_Ctrl_2h,hallmark_ifna
400,55.445713,DC,IFNb_Ctrl_2h,hallmark_ifna
