,mean_value,CellType,treatment,hallmark
208,9.33882,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
209,9.191055,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
210,9.245487,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
211,9.509722,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
212,9.165996,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
213,9.310401,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
214,9.710495,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
215,9.278968,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
216,9.267959,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
217,9.207594,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
218,9.470374,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
219,9.25794,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
220,9.219094,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
221,9.1462145,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
222,9.403967,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
223,9.1842575,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
224,9.388931,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
225,9.323638,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
226,9.255072,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
227,9.424946,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
228,9.14751,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
229,9.331044,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
230,9.255156,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
231,9.172616,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
232,9.511304,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
233,9.302789,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
234,9.249315,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
235,9.329003,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
236,9.325808,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
237,9.162737,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
238,9.334978,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
239,9.433754,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
240,9.481889,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
241,9.382529,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
242,9.180358,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
243,9.372683,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
244,9.458823,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
245,9.441773,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
246,9.202219,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
247,9.311507,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
248,9.383123,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
249,9.341096,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
250,9.358432,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
