,hallmark,CellType,Condition1,Condition2,Statistic,p-value,mean1,mean2,p_adj
144,hallmark_ifna,NK,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-2.4080505250754243,0.016037961292212355,23.188705,26.814049,1.0
145,hallmark_ifna,NK,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-8.081694364111756,6.387302435289362e-16,23.188705,30.27694,2.6826670228215323e-13
146,hallmark_ifna,NK,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-2.0066925073332813,0.044782414325224944,26.814049,30.27694,1.0
147,hallmark_ifna,Neutrophil,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-17.319877589091906,3.33065490016935e-67,30.593891,38.764145,1.398875058071127e-64
148,hallmark_ifna,Neutrophil,IFNb_MOM1000_2h,IFNb_DEU1000_2h,25.422348178402878,1.4279336862636126e-142,30.593891,17.737707,5.997321482307173e-140
149,hallmark_ifna,Neutrophil,IFNb_MOM1000_2h,IFNb_RUX1000_2h,6.587262264223307,4.4801051811476164e-11,30.593891,27.870956,1.8816441760819988e-08
150,hallmark_ifna,Neutrophil,IFNb_MOM1000_2h,IFNb_BAR1000_2h,15.794388692518257,3.4007392139904267e-56,30.593891,24.28374,1.4283104698759792e-53
151,hallmark_ifna,Neutrophil,IFNb_MOM1000_2h,IFNb_BMS1000_2h,6.3683717957675094,1.910453632593696e-10,30.593891,27.825956,8.023905256893523e-08
152,hallmark_ifna,Neutrophil,IFNb_MOM1000_2h,IFNb_ABR1000_2h,-1.2710642289054543,0.20370579977942993,30.593891,31.357836,1.0
153,hallmark_ifna,Neutrophil,IFNb_Ctrl_2h,IFNb_DEU1000_2h,32.71091425935872,1.0925597879982391e-234,38.764145,17.737707,4.5887511095926044e-232
154,hallmark_ifna,Neutrophil,IFNb_Ctrl_2h,IFNb_RUX1000_2h,25.380216765495398,4.1706582482917845e-142,38.764145,27.870956,1.7516764642825497e-139
155,hallmark_ifna,Neutrophil,IFNb_Ctrl_2h,IFNb_BAR1000_2h,31.74907213783417,3.2702625753807854e-221,38.764145,24.28374,1.3735102816599298e-218
156,hallmark_ifna,Neutrophil,IFNb_Ctrl_2h,IFNb_BMS1000_2h,24.98620770732188,8.63431430850009e-138,38.764145,27.825956,3.626412009570038e-135
157,hallmark_ifna,Neutrophil,IFNb_Ctrl_2h,IFNb_ABR1000_2h,18.37147003795713,2.223082595757776e-75,38.764145,31.357836,9.33694690218266e-73
158,hallmark_ifna,Neutrophil,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-26.092563126217964,4.427935969711239e-150,17.737707,27.870956,1.8597331072787204e-147
159,hallmark_ifna,Neutrophil,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-20.955179741668754,1.6829249878295018e-97,17.737707,24.28374,7.068284948883908e-95
160,hallmark_ifna,Neutrophil,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-25.72583164718969,6.009997438205284e-146,17.737707,27.825956,2.524198924046219e-143
161,hallmark_ifna,Neutrophil,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-29.02290776388773,3.3824293480575786e-185,17.737707,31.357836,1.420620326184183e-182
162,hallmark_ifna,Neutrophil,IFNb_RUX1000_2h,IFNb_BAR1000_2h,11.716751614460492,1.0460661538937462e-31,27.870956,24.28374,4.393477846353734e-29
163,hallmark_ifna,Neutrophil,IFNb_RUX1000_2h,IFNb_BMS1000_2h,-0.12287610728798082,0.9022052058510601,27.870956,27.825956,1.0
164,hallmark_ifna,Neutrophil,IFNb_RUX1000_2h,IFNb_ABR1000_2h,-9.018379911328893,1.9089130934035324e-19,27.870956,31.357836,8.017434992294837e-17
165,hallmark_ifna,Neutrophil,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-11.462125096502502,2.0443617292257577e-30,24.28374,27.825956,8.586319262748182e-28
166,hallmark_ifna,Neutrophil,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-19.62441220766121,9.567721782944533e-86,24.28374,31.357836,4.018443148836704e-83
167,hallmark_ifna,Neutrophil,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-8.665168636744356,4.508451523854734e-18,27.825956,31.357836,1.893549640018988e-15
168,hallmark_ifna,pDC,IFNb_MOM1000_2h,IFNb_Ctrl_2h,0.36546575406090287,0.714763765766584,33.55979,32.962807,1.0
